user_query,chatbot_response,retrieved_contexts,relevant_contexts,faithfulness,answer_relevance
Sample query 49,Sample response 49,"['Sample context 49a.', 'Sample context 49b.']",['Sample context 49a.'],0.8766789534461094,0.8422848253437367
Sample query 50,Sample response 50,"['Sample context 50a.', 'Sample context 50b.']",['Sample context 50a.'],0.8136327798749903,0.951583108081846
Sample query 51,Sample response 51,"['Sample context 51a.', 'Sample context 51b.']",['Sample context 51a.'],0.8838508780241919,0.9248230826150013
Sample query 52,Sample response 52,"['Sample context 52a.', 'Sample context 52b.']",['Sample context 52a.'],0.9123713017547541,0.9923913483106045
Sample query 53,Sample response 53,"['Sample context 53a.', 'Sample context 53b.']",['Sample context 53a.'],0.9230502517241673,0.8873390081891276
Sample query 54,Sample response 54,"['Sample context 54a.', 'Sample context 54b.']",['Sample context 54a.'],0.9179527705774173,0.9867486891904604
Sample query 55,Sample response 55,"['Sample context 55a.', 'Sample context 55b.']",['Sample context 55a.'],0.9497769260335082,0.9915295620207676
Sample query 56,Sample response 56,"['Sample context 56a.', 'Sample context 56b.']",['Sample context 56a.'],0.912620956829275,0.8721840552030469
Sample query 57,Sample response 57,"['Sample context 57a.', 'Sample context 57b.']",['Sample context 57a.'],0.9430585807134032,0.9868368229481788
Sample query 58,Sample response 58,"['Sample context 58a.', 'Sample context 58b.']",['Sample context 58a.'],0.9956871297728497,0.952459287290194
Sample query 59,Sample response 59,"['Sample context 59a.', 'Sample context 59b.']",['Sample context 59a.'],0.9655396453314173,0.9359656701627376
Sample query 60,Sample response 60,"['Sample context 60a.', 'Sample context 60b.']",['Sample context 60a.'],0.9252518966854153,0.9862096186405848
Sample query 61,Sample response 61,"['Sample context 61a.', 'Sample context 61b.']",['Sample context 61a.'],0.9462619329258686,0.8358250626689154
Sample query 62,Sample response 62,"['Sample context 62a.', 'Sample context 62b.']",['Sample context 62a.'],0.8465298623860815,0.9629527922278345
Sample query 63,Sample response 63,"['Sample context 63a.', 'Sample context 63b.']",['Sample context 63a.'],0.8723639393866249,0.820421800281534
Sample query 64,Sample response 64,"['Sample context 64a.', 'Sample context 64b.']",['Sample context 64a.'],0.8036491118984995,0.9113637301299595
Sample query 65,Sample response 65,"['Sample context 65a.', 'Sample context 65b.']",['Sample context 65a.'],0.8207382467098382,0.8413479341230952
Sample query 66,Sample response 66,"['Sample context 66a.', 'Sample context 66b.']",['Sample context 66a.'],0.9596879067414188,0.9229983543110614
Sample query 67,Sample response 67,"['Sample context 67a.', 'Sample context 67b.']",['Sample context 67a.'],0.9631967256774404,0.8685019884190425
Sample query 68,Sample response 68,"['Sample context 68a.', 'Sample context 68b.']",['Sample context 68a.'],0.8929663723428991,0.9148713631867108
Sample query 69,Sample response 69,"['Sample context 69a.', 'Sample context 69b.']",['Sample context 69a.'],0.9729126239297723,0.8656779220197295
Sample query 70,Sample response 70,"['Sample context 70a.', 'Sample context 70b.']",['Sample context 70a.'],0.9148510138257993,0.9066377219855977
Sample query 71,Sample response 71,"['Sample context 71a.', 'Sample context 71b.']",['Sample context 71a.'],0.888298937480087,0.8580495155222011
Sample query 72,Sample response 72,"['Sample context 72a.', 'Sample context 72b.']",['Sample context 72a.'],0.92534298087524,0.9830961065785702
Sample query 73,Sample response 73,"['Sample context 73a.', 'Sample context 73b.']",['Sample context 73a.'],0.9873204047715527,0.9253514263786615
Sample query 74,Sample response 74,"['Sample context 74a.', 'Sample context 74b.']",['Sample context 74a.'],0.966627660924627,0.9749006563910959
Sample query 75,Sample response 75,"['Sample context 75a.', 'Sample context 75b.']",['Sample context 75a.'],0.8261957924896289,0.8259697572622758
Sample query 76,Sample response 76,"['Sample context 76a.', 'Sample context 76b.']",['Sample context 76a.'],0.9796623569859133,0.8719929342087287
Sample query 77,Sample response 77,"['Sample context 77a.', 'Sample context 77b.']",['Sample context 77a.'],0.8422964074975643,0.897960398215381
Sample query 78,Sample response 78,"['Sample context 78a.', 'Sample context 78b.']",['Sample context 78a.'],0.8628806434572852,0.9983893985310311
Sample query 79,Sample response 79,"['Sample context 79a.', 'Sample context 79b.']",['Sample context 79a.'],0.9892040240940554,0.8362516811202134
Sample query 80,Sample response 80,"['Sample context 80a.', 'Sample context 80b.']",['Sample context 80a.'],0.8121805622435678,0.8882501393979604
Sample query 81,Sample response 81,"['Sample context 81a.', 'Sample context 81b.']",['Sample context 81a.'],0.9849354460098556,0.800878874571919
Sample query 82,Sample response 82,"['Sample context 82a.', 'Sample context 82b.']",['Sample context 82a.'],0.8964984439876784,0.9833859016306901
Sample query 83,Sample response 83,"['Sample context 83a.', 'Sample context 83b.']",['Sample context 83a.'],0.836422254753794,0.8804438266070234
Sample query 84,Sample response 84,"['Sample context 84a.', 'Sample context 84b.']",['Sample context 84a.'],0.8305331909914812,0.9142033700291073
Sample query 85,Sample response 85,"['Sample context 85a.', 'Sample context 85b.']",['Sample context 85a.'],0.9811450637116026,0.976721376091595
Sample query 86,Sample response 86,"['Sample context 86a.', 'Sample context 86b.']",['Sample context 86a.'],0.8072226256638255,0.9215568937335832
Sample query 87,Sample response 87,"['Sample context 87a.', 'Sample context 87b.']",['Sample context 87a.'],0.822296431536142,0.9126050849909655
Sample query 88,Sample response 88,"['Sample context 88a.', 'Sample context 88b.']",['Sample context 88a.'],0.8749873443561378,0.8558998043659214
Sample query 89,Sample response 89,"['Sample context 89a.', 'Sample context 89b.']",['Sample context 89a.'],0.8283516441881372,0.9121811875795071
Sample query 90,Sample response 90,"['Sample context 90a.', 'Sample context 90b.']",['Sample context 90a.'],0.8565525070075638,0.9034003108305719
Sample query 91,Sample response 91,"['Sample context 91a.', 'Sample context 91b.']",['Sample context 91a.'],0.8533742775964442,0.9151822056287163
Sample query 92,Sample response 92,"['Sample context 92a.', 'Sample context 92b.']",['Sample context 92a.'],0.9574068477644894,0.9286203900341299
Sample query 93,Sample response 93,"['Sample context 93a.', 'Sample context 93b.']",['Sample context 93a.'],0.853578498331663,0.8033953665633324
Sample query 94,Sample response 94,"['Sample context 94a.', 'Sample context 94b.']",['Sample context 94a.'],0.9636984678547558,0.9030460932037747
Sample query 95,Sample response 95,"['Sample context 95a.', 'Sample context 95b.']",['Sample context 95a.'],0.9123637739246464,0.9148792889471049
Sample query 96,Sample response 96,"['Sample context 96a.', 'Sample context 96b.']",['Sample context 96a.'],0.9547153153185188,0.9931402855942281
Sample query 97,Sample response 97,"['Sample context 97a.', 'Sample context 97b.']",['Sample context 97a.'],0.9085859275649985,0.991283467341562
